"","trial_index","shelf_index","product_index","product","price","selected","scenario","latency","pre_discounted","id.session"
"2084",0,0,0,"gordons_export",11.99,FALSE,"F6-fill_4",NA,NA,"5de21dbfd521a00010b47de9"
"2085",0,0,1,"malibu",12.99,FALSE,"F6-fill_4",NA,NA,"5de21dbfd521a00010b47de9"
"2086",0,0,2,"smirnoff_de",12.99,FALSE,"F6-fill_4",NA,NA,"5de21dbfd521a00010b47de9"
"2087",0,0,3,"rotkappchen",4.99,TRUE,"F6-fill_4",15869,NA,"5de21dbfd521a00010b47de9"
"2088",0,0,4,"gordons_export_large",14.99,FALSE,"F6-fill_4",NA,NA,"5de21dbfd521a00010b47de9"
"2089",0,0,5,"blanchet_white",6.99,FALSE,"F6-fill_4",NA,NA,"5de21dbfd521a00010b47de9"
"2090",0,0,6,"lillet",12.99,FALSE,"F6-fill_4",NA,NA,"5de21dbfd521a00010b47de9"
"2091",0,0,7,"blanchet_red",6.99,FALSE,"F6-fill_4",NA,NA,"5de21dbfd521a00010b47de9"
"2092",0,0,8,"12_ouzo_reg",10.99,FALSE,"F6-fill_4",NA,NA,"5de21dbfd521a00010b47de9"
"2093",1,0,0,"rotkappchen",4.99,TRUE,"F5-fill_1",24112,NA,"5de21dbfd521a00010b47de9"
"2094",1,0,1,"blanchet_white",6.99,FALSE,"F5-fill_1",NA,9.99,"5de21dbfd521a00010b47de9"
"2095",1,0,2,"smirnoff_de",12.99,FALSE,"F5-fill_1",NA,NA,"5de21dbfd521a00010b47de9"
"2096",1,0,3,"gordons_export_large",14.99,FALSE,"F5-fill_1",NA,NA,"5de21dbfd521a00010b47de9"
"2097",1,0,4,"blanchet_red",6.99,FALSE,"F5-fill_1",NA,13.99,"5de21dbfd521a00010b47de9"
"2098",1,0,5,"gordons_export",11.99,FALSE,"F5-fill_1",NA,NA,"5de21dbfd521a00010b47de9"
"2099",1,0,6,"lillet",12.99,FALSE,"F5-fill_1",NA,16.99,"5de21dbfd521a00010b47de9"
"2100",1,0,7,"12_ouzo_reg",10.99,FALSE,"F5-fill_1",NA,16.99,"5de21dbfd521a00010b47de9"
"2101",1,0,8,"malibu",12.99,FALSE,"F5-fill_1",NA,NA,"5de21dbfd521a00010b47de9"
"2102",2,0,0,"averna",14.99,FALSE,"F5-2",NA,NA,"5de21dbfd521a00010b47de9"
"2103",2,0,1,"kronenhof_advocaat",3.99,FALSE,"F5-2",NA,NA,"5de21dbfd521a00010b47de9"
"2104",2,0,2,"ramazzotti",11.99,FALSE,"F5-2",NA,NA,"5de21dbfd521a00010b47de9"
"2105",2,0,3,"12_ouzo_reg",8.99,FALSE,"F5-2",NA,NA,"5de21dbfd521a00010b47de9"
"2106",2,0,4,"jagermeister",13.99,FALSE,"F5-2",NA,NA,"5de21dbfd521a00010b47de9"
"2107",2,0,5,"licor_43",11.99,FALSE,"F5-2",NA,NA,"5de21dbfd521a00010b47de9"
"2108",2,0,6,"high_mountains",3.99,FALSE,"F5-2",NA,NA,"5de21dbfd521a00010b47de9"
"2109",2,0,7,"baileys_700ml",13.99,TRUE,"F5-2",25570,NA,"5de21dbfd521a00010b47de9"
"2110",2,0,8,"disaronno",29.99,FALSE,"F5-2",NA,NA,"5de21dbfd521a00010b47de9"
"2111",2,0,9,"amarula",11.99,FALSE,"F5-2",NA,NA,"5de21dbfd521a00010b47de9"
"2112",3,0,0,"averna",14.99,FALSE,"F5-4",NA,NA,"5de21dbfd521a00010b47de9"
"2113",3,0,1,"disaronno",29.99,FALSE,"F5-4",NA,NA,"5de21dbfd521a00010b47de9"
"2114",3,0,2,"12_ouzo_reg",8.99,FALSE,"F5-4",NA,NA,"5de21dbfd521a00010b47de9"
"2115",3,0,3,"jagermeister",13.99,FALSE,"F5-4",NA,NA,"5de21dbfd521a00010b47de9"
"2116",3,0,4,"baileys_700ml",11.99,TRUE,"F5-4",10250,NA,"5de21dbfd521a00010b47de9"
"2117",3,0,5,"kronenhof_advocaat",3.99,FALSE,"F5-4",NA,NA,"5de21dbfd521a00010b47de9"
"2118",3,0,6,"high_mountains",3.99,FALSE,"F5-4",NA,NA,"5de21dbfd521a00010b47de9"
"2119",3,0,7,"licor_43",11.99,FALSE,"F5-4",NA,NA,"5de21dbfd521a00010b47de9"
"2120",3,0,8,"amarula",11.99,FALSE,"F5-4",NA,NA,"5de21dbfd521a00010b47de9"
"2121",3,0,9,"ramazzotti",11.99,FALSE,"F5-4",NA,NA,"5de21dbfd521a00010b47de9"
"2122",4,0,0,"ramazzotti",11.99,FALSE,"F6-1",NA,NA,"5de21dbfd521a00010b47de9"
"2123",4,0,1,"baileys_700ml",12.99,TRUE,"F6-1",15089,NA,"5de21dbfd521a00010b47de9"
